date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-11,155.7536,156.254,154.3963,154.5999,4065310,4065310,-1.7305,-1.107,155.0372,"Jun 11, 14",0.043220110813530034
2014-06-12,154.795,154.8544,153.4632,153.7262,4425491,4425491,-0.873733,-0.565,153.9714,"Jun 12, 14",0.03732449632207327
2014-06-13,154.3878,155.2361,153.9806,154.8629,2778984,2778984,1.1367,0.739,154.7038,"Jun 13, 14",0.0449948007657484
2014-06-16,154.7271,154.9901,153.7389,154.6847,3556218,3556218,-0.178141,-0.115,154.462,"Jun 16, 14",0.043792330235385986
2014-06-17,154.303,155.0749,154.0146,154.6084,2460857,2460857,-0.076346,-0.049,156.4018,"Jun 17, 14",0.043277467713126426
2014-06-18,154.4217,155.7536,154.2097,155.7451,3935653,3935653,1.1367,0.735,155.0079,"Jun 18, 14",0.05094777215680174
2014-06-19,156.1862,156.4831,154.6898,155.0834,3551276,3551276,-0.661661,-0.425,155.3889,"Jun 19, 14",0.04648270621998478
2014-06-20,154.8883,154.9562,153.8788,154.0061,10686834,10686834,-1.0773,-0.695,154.7853,"Jun 20, 14",0.03921322528643033
2014-06-23,154.32,154.5999,153.5395,154.5066,3231699,3231699,0.500486,0.325,154.1428,"Jun 23, 14",0.04259053449207768
2014-06-24,153.9637,155.2361,153.2426,153.4377,3875453,3875453,-1.0688,-0.692,154.1098,"Jun 24, 14",0.03537773567106572
2014-06-25,152.9033,153.5141,152.7421,153.302,2763020,2763020,-0.135726,-0.088,153.1888,"Jun 25, 14",0.034462049638685294
2014-06-26,153.4293,153.8534,152.072,153.0051,3258470,3258470,-0.2969,-0.194,152.9475,"Jun 26, 14",0.032458606875135444
2014-06-27,152.4961,154.778,152.4028,154.1418,4575680,4575680,1.1367,0.743,157.8639,"Jun 27, 14",0.040128911318810565
2014-06-30,153.8195,154.3284,152.9118,153.7686,4228836,4228836,-0.373246,-0.242,154.0744,"Jun 30, 14",0.037610606033001155
2014-07-01,154.1333,158.8583,154.1333,158.0779,6644363,6644363,4.3093,2.802,157.6509,"Jul 1, 14",0.06668920455427285
2014-07-02,158.0694,160.3173,157.9252,159.8084,5097199,5097199,1.7305,1.095,159.6701,"Jul 2, 14",0.07836639452504787
2014-07-03,159.8084,160.1612,158.9261,159.9271,2422363,2422363,0.11876,0.074,159.729,"Jul 3, 14",0.07916736675823531
2014-07-07,159.1467,159.7066,159.0025,159.5115,2958947,2958947,-0.415661,-0.26,161.2815,"Jul 7, 14",0.07636295176149802
2014-07-08,159.1806,159.5454,158.0948,158.8159,3135115,3135115,-0.695592,-0.436,158.8538,"Jul 8, 14",0.07166913301334939
2014-07-09,159.2061,160.241,158.5359,159.8338,3309559,3309559,1.0179,0.641,159.7213,"Jul 9, 14",0.07853779043678297
2014-07-10,158.1542,159.5199,157.9591,159.223,3177816,3177816,-0.610764,-0.382,158.7859,"Jul 10, 14",0.07441619111049047
2014-07-11,159.2485,159.7744,158.379,159.4775,2403840,2403840,0.254486,0.16,159.2682,"Jul 11, 14",0.07613352416311224
2014-07-14,159.9441,161.5473,159.9271,161.0553,4502202,4502202,1.5778,0.989,161.1302,"Jul 14, 14",0.08678031430231405
2014-07-15,160.7839,161.242,159.6557,159.8932,4873452,4873452,-1.1621,-0.722,160.1599,"Jul 15, 14",0.07893861394690382
2014-07-16,163.0743,164.0243,161.8188,163.176,7815648,7815648,3.2829,2.053,163.1112,"Jul 16, 14",0.10109052335809127
2014-07-17,163.176,166.2214,162.8707,163.2863,8872269,8872269,0.110277,0.068,164.4242,"Jul 17, 14",0.1018348134787366
2014-07-18,162.8367,164.0922,161.1741,163.2948,8169325,8169325,0.008483,0.005,162.716,"Jul 18, 14",0.101892170378333
2014-07-21,162.2769,162.6162,160.5379,161.8951,4154740,4154740,-1.3997,-0.857,161.654,"Jul 21, 14",0.09244717598243951
2014-07-22,162.5229,165.178,162.4974,164.6436,4853041,4853041,2.7484,1.698,164.3413,"Jul 22, 14",0.11099369816370201
2014-07-23,164.6605,165.3307,164.2025,164.2534,3584465,3584465,-0.390211,-0.237,164.6963,"Jul 23, 14",0.10836067907869981
2014-07-24,164.5248,165.9415,164.3552,165.6191,3612656,3612656,1.3657,0.831,165.4867,"Jul 24, 14",0.11757624587620771
2014-07-25,165.67,166.179,164.3892,164.9065,3376455,3376455,-0.712559,-0.43,165.1914,"Jul 25, 14",0.11276771332886627
2014-07-28,164.8217,166.6031,164.2703,166.0772,3242443,3242443,1.1706,0.71,165.7221,"Jul 28, 14",0.12066744537092718
2014-07-29,165.67,166.1705,165.0253,165.0508,3264409,3264409,-1.0264,-0.618,165.5913,"Jul 29, 14",0.1137414310478972
2014-07-30,165.5852,166.2553,163.6341,164.5672,3945601,3945601,-0.483521,-0.293,164.6947,"Jul 30, 14",0.11047816085438855
2014-07-31,163.5832,164.8132,162.4805,162.5907,4208005,4208005,-1.9765,-1.201,163.3584,"Jul 31, 14",0.09714099473058796
2014-08-01,161.5982,162.4465,160.2071,160.4531,5181080,5181080,-2.1377,-1.315,160.7765,"Aug 1, 14",0.08271674666267205
2014-08-04,160.6227,161.1317,159.9865,160.8687,2125935,2125935,0.415659,0.259,160.6389,"Aug 4, 14",0.08552116165940933
2014-08-05,160.1137,160.4921,158.1542,158.7141,3307945,3307945,-2.1546,-1.339,159.0737,"Aug 5, 14",0.07098219979230064
2014-08-06,158.1679,159.4649,157.3829,158.6884,3847046,3847046,-0.025632,-0.016,158.6122,"Aug 6, 14",0.07080877951940324
2014-08-07,159.2601,159.2943,156.649,157.2634,2708935,2708935,-1.425,-0.898,157.4931,"Aug 7, 14",0.061193063998828574
2014-08-08,157.3488,159.2857,156.649,159.2516,2781936,2781936,1.9882,1.264,158.5116,"Aug 8, 14",0.07460918020795593
2014-08-11,160.2585,160.7278,158.953,159.9684,2527208,2527208,0.716773,0.45,159.9665,"Aug 11, 14",0.07944605381156851
2014-08-12,159.9513,161.0094,159.4052,159.8575,1858635,1858635,-0.110928,-0.069,159.8964,"Aug 12, 14",0.07869771496859877
2014-08-13,160.4206,160.8302,159.8831,160.378,1795041,1795041,0.520513,0.326,160.3418,"Aug 13, 14",0.08220998158506128
2014-08-14,160.0537,160.5657,159.5076,160.3182,1929581,1929581,-0.059731,-0.037,160.1458,"Aug 14, 14",0.08180645892672421
2014-08-15,160.2926,161.1715,159.3881,159.8916,2815822,2815822,-0.42665,-0.266,160.2055,"Aug 15, 14",0.07892781735403864
2014-08-18,160.506,161.9651,160.2158,161.5811,2420398,2420398,1.6895,1.057,161.4535,"Aug 18, 14",0.09032834463264258
2014-08-19,162.1614,162.3406,161.5811,162.187,2040117,2040117,0.605843,0.375,162.0367,"Aug 19, 14",0.09441687939328562
2014-08-20,162.0078,162.46,161.4873,162.2126,2177702,2177702,0.025602,0.016,162.0482,"Aug 20, 14",0.0945896248791289
2014-08-21,162.8952,163.8936,162.5539,163.1768,2497985,2497985,0.964227,0.594,163.4606,"Aug 21, 14",0.10109592165452386
2014-08-22,162.7843,163.7314,162.3747,162.4771,1940434,1940434,-0.699706,-0.429,162.752,"Aug 22, 14",0.09637443663715835
2014-08-25,163.3133,163.6717,162.7331,163.1171,1726100,1726100,0.639976,0.394,163.2085,"Aug 25, 14",0.10069307378324088
2014-08-26,162.9976,165.1394,162.9976,164.6786,3175399,3175399,1.5615,0.957,164.5127,"Aug 26, 14",0.11122987363262839
2014-08-27,164.7127,165.6539,163.4584,164.0472,2190285,2190285,-0.631443,-0.383,164.0922,"Aug 27, 14",0.10696926817319634
